Shasta County (CA),14.7
Sierra County (NM),22.2
Siskiyou County (CA),16.7
Solano County (CA),8.4
Sonoma County (CA),7.1
Stanislaus County (CA),14.6
Sutter County (CA),14.1
Tehama County (CA),17.2
Trinity County (TX),19.2
Tulare County (CA),23.2
Tuolumne County (CA),12.7
Ventura County (CA),8.9
Yolo County (CA),12.0
Yuba County (CA),19.3
Adams County (WI),12.3
Alamosa County (CO),20.3
Arapahoe County (CO),5.8
Archuleta County (CO),13.2
Baca County (CO),17.5
Bent County (CO),23.1
Boulder County (CO),7.8
Chaffee County (CO),11.5
Cheyenne County (NE),9.2
Clear Creek County (CO),6.0
Conejos County (CO),23.9
Costilla County (CO),28.5
Crowley County (CO),34.1
Custer County (SD),11.0
Delta County (TX),18.4
Denver County (CO),13.1
Dolores County (CO),15.2
Douglas County (WI),10.8
Eagle County (CO),6.0
Elbert County (GA),15.3
El Paso County (TX),25.3
Fremont County (WY),15.8
Garfield County (WA),12.6
Gilpin County (CO),5.5
Grand Isle County (VT),7.3
Gunnison County (CO),11.4
